"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
9.132875498E1	4.634093333E0	-7.416332667E1	2.551923097E3	2.573200000E3	1.305850267E0	5.243000031E1	1.910358327E-1	2.299999952E0	3.470000076E1	2.200000000E1
9.232875498E1	4.634093333E0	-7.416332000E1	2.551523107E3	2.572800000E3	1.183861136E0	6.552999878E1	1.915591545E-1	2.299999952E0	3.490000153E1	2.000000000E1
9.332875498E1	4.634096667E0	-7.416331667E1	2.551123111E3	2.572400000E3	1.108711720E0	3.829000092E1	1.931419337E-1	2.299999952E0	3.509999847E1	2.100000000E1
9.432875498E1	4.634110000E0	-7.416332167E1	2.550823096E3	2.572100000E3	1.044886112E0	3.833000183E1	1.936979083E-1	2.599999905E0	3.509999847E1	2.100000000E1
9.532875498E1	4.634115000E0	-7.416332167E1	2.550023094E3	2.571300000E3	9.342208505E-1	4.809000015E1	1.943654353E-1	2.500000000E0	3.529999924E1	2.100000000E1
9.632875498E1	4.634120000E0	-7.416331833E1	2.549923096E3	2.571200000E3	8.214966655E-1	3.306999969E1	1.954451218E-1	2.500000000E0	3.509999847E1	2.000000000E1
9.732875498E1	4.634128333E0	-7.416332333E1	2.550023084E3	2.571300000E3	7.082577944E-1	3.495499878E2	1.964917654E-1	2.500000000E0	3.529999924E1	1.900000000E1
9.832875498E1	4.634135000E0	-7.416333000E1	2.550223070E3	2.571500000E3	0.000000000E0	3.495499878E2	1.979024427E-1	2.500000000E0	3.470000076E1	2.000000000E1
9.932875498E1	4.634146667E0	-7.416333500E1	2.549623056E3	2.570900000E3	0.000000000E0	3.495499878E2	1.987290739E-1	2.500000000E0	3.670000076E1	2.100000000E1
1.003287550E2	4.634143333E0	-7.416332833E1	2.550123068E3	2.571400000E3	0.000000000E0	3.495499878E2	1.997757176E-1	2.400000095E0	3.650000000E1	2.100000000E1
1.013287550E2	4.634150000E0	-7.416333500E1	2.550023055E3	2.571300000E3	0.000000000E0	3.495499878E2	2.006039744E-1	2.500000000E0	3.559999847E1	2.100000000E1
1.023287550E2	4.634156667E0	-7.416333833E1	2.550223046E3	2.571500000E3	0.000000000E0	3.495499878E2	2.007886935E-1	2.500000000E0	3.570000076E1	2.100000000E1
1.033287550E2	4.634156667E0	-7.416334000E1	2.550323043E3	2.571600000E3	0.000000000E0	3.495499878E2	2.009740183E-1	2.400000095E0	3.559999847E1	2.000000000E1
1.043287550E2	4.634155000E0	-7.416334000E1	2.550123044E3	2.571400000E3	4.344255626E-1	2.768399963E2	2.013873340E-1	2.299999952E0	3.550000000E1	2.000000000E1
1.053287550E2	4.634156667E0	-7.416334333E1	2.550123038E3	2.571400000E3	4.261899889E-1	2.892699890E2	2.021262101E-1	2.299999952E0	3.529999924E1	2.000000000E1
1.063287550E2	4.634156667E0	-7.416335000E1	2.550323028E3	2.571600000E3	4.200133383E-1	2.913900146E2	2.026495319E-1	2.299999952E0	3.550000000E1	2.100000000E1
1.073287550E2	4.634160000E0	-7.416335333E1	2.550623021E3	2.571900000E3	0.000000000E0	3.347999878E2	2.033170589E-1	2.299999952E0	3.570000076E1	2.100000000E1
1.083287550E2	4.634165000E0	-7.416335667E1	2.550823013E3	2.572100000E3	0.000000000E0	3.216400146E2	2.045570057E-1	2.299999952E0	3.559999847E1	2.000000000E1
1.093287550E2	4.634170000E0	-7.416336667E1	2.551322995E3	2.572600000E3	0.000000000E0	3.390400085E2	2.050803275E-1	2.299999952E0	3.579999924E1	1.900000000E1
1.103287550E2	4.634173333E0	-7.416337000E1	2.551422988E3	2.572700000E3	3.608202636E-1	3.039599915E2	2.052656524E-1	2.299999952E0	3.529999924E1	2.000000000E1
1.113287550E2	4.634171667E0	-7.416337000E1	2.551622989E3	2.572900000E3	0.000000000E0	1.118799973E2	2.054503714E-1	2.299999952E0	3.520000076E1	2.000000000E1
1.123287550E2	4.634171667E0	-7.416336833E1	2.552022991E3	2.573300000E3	0.000000000E0	1.118799973E2	2.057120323E-1	2.299999952E0	3.509999847E1	1.900000000E1
1.133287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	3.401900024E2	2.057120323E-1	2.400000095E0	3.529999924E1	1.800000000E1
1.143287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	3.401900024E2	2.057120323E-1	2.299999952E0	3.429999924E1	1.900000000E1
1.153287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	3.401900024E2	2.057120323E-1	2.299999952E0	3.450000000E1	1.900000000E1
1.163287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	3.401900024E2	2.057120323E-1	2.200000048E0	3.490000153E1	2.100000000E1
1.173287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	3.401900024E2	2.057120323E-1	2.200000048E0	3.409999847E1	2.100000000E1
1.183287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.200000048E0	3.509999847E1	2.200000000E1
1.193287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.200000048E0	3.590000153E1	2.300000000E1
1.203287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.200000048E0	3.609999847E1	2.300000000E1
1.213287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.799999952E0	2.920000076E1	2.300000000E1
1.223287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.599999905E0	2.929999924E1	2.300000000E1
1.233287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.400000095E0	2.850000000E1	2.300000000E1
1.243287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.299999952E0	2.820000076E1	2.300000000E1
1.253287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.200000048E0	2.829999924E1	2.200000000E1
1.263287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.200000048E0	2.810000038E1	2.200000000E1
1.273287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.099999905E0	2.820000076E1	2.200000000E1
1.283287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.099999905E0	2.800000000E1	2.300000000E1
1.293287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.099999905E0	2.810000038E1	2.300000000E1
1.303287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.000000000E0	2.870000076E1	2.300000000E1
1.313287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.000000000E0	2.920000076E1	2.200000000E1
1.323287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.000000000E0	2.860000038E1	2.200000000E1
1.333287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.000000000E0	2.879999924E1	2.200000000E1
1.343287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	9.830999756E1	2.057120323E-1	2.099999905E0	2.829999924E1	1.900000000E1
1.353287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	1.433999939E2	2.057120323E-1	2.099999905E0	2.870000076E1	1.900000000E1
1.363287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	1.433999939E2	2.057120323E-1	2.400000095E0	2.550000000E1	2.000000000E1
1.373287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	1.433999939E2	2.057120323E-1	2.299999952E0	2.370000076E1	1.900000000E1
1.383287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	1.433999939E2	2.057120323E-1	2.200000048E0	2.389999962E1	2.100000000E1
1.393287550E2	4.634173333E0	-7.416337000E1	2.552122988E3	2.573400000E3	0.000000000E0	1.433999939E2	2.154802316E-1	2.200000048E0	2.460000038E1	2.100000000E1
1.403287550E2	4.634130000E0	-7.416329333E1	2.546823130E3	2.568100000E3	2.867002785E-1	1.284700012E2	2.162191077E-1	2.200000048E0	2.370000076E1	2.100000000E1
1.413287550E2	4.634130000E0	-7.416330000E1	2.546623120E3	2.567900000E3	0.000000000E0	3.348999939E2	2.170457390E-1	2.200000048E0	2.289999962E1	2.200000000E1
1.423287550E2	4.634133333E0	-7.416330667E1	2.546723107E3	2.568000000E3	0.000000000E0	3.341700134E2	2.175998961E-1	2.099999905E0	2.260000038E1	2.300000000E1
1.433287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.099999905E0	2.289999962E1	2.300000000E1
1.443287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.000000000E0	2.310000038E1	2.300000000E1
1.453287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.099999905E0	2.389999962E1	2.400000000E1
1.463287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.000000000E0	2.370000076E1	2.300000000E1
1.473287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.400000095E0	2.379999924E1	2.300000000E1
1.483287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.299999952E0	2.239999962E1	2.300000000E1
1.493287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.200000048E0	2.250000000E1	2.300000000E1
1.503287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.200000048E0	2.329999924E1	2.300000000E1
1.513287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.099999905E0	2.279999924E1	2.200000000E1
1.523287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.099999905E0	2.300000000E1	2.300000000E1
1.533287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.099999905E0	2.389999962E1	2.300000000E1
1.543287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.099999905E0	2.279999924E1	2.300000000E1
1.553287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.000000000E0	2.279999924E1	2.300000000E1
1.563287550E2	4.634133333E0	-7.416331167E1	2.547023100E3	2.568300000E3	0.000000000E0	3.558699951E2	2.175998961E-1	2.000000000E0	2.239999962E1	2.200000000E1
