"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.041875206E0	-6.997849941E-1	-7.358099818E-1	6.909679770E-1	1.228231294E0
1.046802591E0	-6.997849941E-1	-7.358099818E-1	6.909679770E-1	1.228231294E0
1.051729899E0	-6.997849941E-1	-7.358099818E-1	6.909679770E-1	1.228231294E0
1.056656991E0	-5.529659986E-1	-5.930280089E-1	1.360878944E0	1.584122822E0
1.061583760E0	-5.529659986E-1	-5.930280089E-1	1.360878944E0	1.584122822E0
1.066510529E0	-5.529659986E-1	-5.930280089E-1	1.360878944E0	1.584122822E0
1.071437058E0	-5.529659986E-1	-5.930280089E-1	1.360878944E0	1.584122822E0
1.076363750E0	-1.077039987E-1	-6.648659706E-1	1.351519972E-1	6.869592219E-1
1.081290596E0	-1.077039987E-1	-6.648659706E-1	1.351519972E-1	6.869592219E-1
1.086217707E0	-1.077039987E-1	-6.648659706E-1	1.351519972E-1	6.869592219E-1
1.091144476E0	-1.077039987E-1	-6.648659706E-1	1.351519972E-1	6.869592219E-1
1.096071476E0	-3.165870011E-1	-8.703680038E-1	3.787799925E-2	9.269317851E-1
1.100998029E0	-3.165870011E-1	-8.703680038E-1	3.787799925E-2	9.269317851E-1
1.105924490E0	-3.165870011E-1	-8.703680038E-1	3.787799925E-2	9.269317851E-1
1.110850952E0	-3.165870011E-1	-8.703680038E-1	3.787799925E-2	9.269317851E-1
1.115777332E0	-3.165870011E-1	-8.703680038E-1	3.787799925E-2	9.269317851E-1
1.120703793E0	-2.381040007E-1	-7.989180088E-1	8.085510135E-1	1.161343292E0
1.125630870E0	-2.381040007E-1	-7.989180088E-1	8.085510135E-1	1.161343292E0
1.130557952E0	-2.381040007E-1	-7.989180088E-1	8.085510135E-1	1.161343292E0
1.135484721E0	-2.381040007E-1	-7.989180088E-1	8.085510135E-1	1.161343292E0
1.140411260E0	-3.332340121E-1	-1.018761992E0	1.504189968E0	1.847026899E0
1.145338024E0	-3.332340121E-1	-1.018761992E0	1.504189968E0	1.847026899E0
1.150264716E0	-3.332340121E-1	-1.018761992E0	1.504189968E0	1.847026899E0
1.155191562E0	-3.332340121E-1	-1.018761992E0	1.504189968E0	1.847026899E0
